id;Vencimento;DataDocumento;NumeroDocumento;ValorDocumento;IDFornecedor;ValorAbatimento;DataAbatimento;Status
8;28/01/2021;28/01/2021;190453;27;267584;27;28/01/2021;PAID
9;02/02/2021;02/02/2021;87296;52,9;267568;52,9;02/02/2021;PAID
10;05/02/2021;05/02/2021;47607;116;253245;116;05/02/2021;PAID
11;05/02/2021;05/02/2021;21663;28,5;267574;28,5;05/02/2021;PAID
12;04/02/2021;05/02/2021;306576;353,26;267575;353,26;04/02/2021;PAID
13;05/02/2021;05/02/2021;19953;30;267567;30;05/02/2021;PAID
14;08/02/2021;08/02/2021;21697;300;267574;300;08/02/2021;PAID
15;08/02/2021;06/02/2021;21695;740;267574;740;08/02/2021;PAID
16;08/02/2021;08/02/2021;307684;136;267575;136;08/02/2021;PAID
17;10/02/2021;10/02/2021;21758;125;267574;125;10/02/2021;PAID
18;09/02/2021;09/02/2021;19984;90;267567;90;09/02/2021;PAID
19;09/02/2021;09/02/2021;9319;49;267588;49;09/02/2021;PAID
21;08/02/2021;08/02/2021;21719;124,5;267574;124,5;08/02/2021;PAID
22;03/02/2021;03/02/2021;1100331742;30;267675;30;03/02/2021;PAID
23;06/02/2021;06/02/2021;21690;35;267574;35;06/02/2021;PAID
24;08/02/2021;08/02/2021;32933;35;267589;35;08/02/2021;PAID
25;20/03/2021;05/02/2021;332071;170;267675;170;20/03/2021;PAID
26;10/02/2021;10/02/2021;144138;17,5;267572;17,5;10/02/2021;PAID
27;10/02/2021;10/02/2021;21782;85;267574;85;10/02/2021;PAID
28;10/02/2021;10/02/2021;277155;3,69;267589;3,69;10/02/2021;PAID
29;10/02/2021;10/02/2021;277114;183;267589;183;10/02/2021;PAID
30;10/02/2021;10/02/2021;277046;35;267589;35;10/02/2021;PAID
31;10/02/2021;10/02/2021;174856;45;267583;45;10/02/2021;PAID
32;09/02/2021;10/02/2021;308170;330,09;267575;330,09;09/02/2021;PAID
33;11/02/2021;11/02/2021;83481;90;267590;90;11/02/2021;PAID
34;09/02/2021;09/02/2021;1;300;267591;300;09/02/2021;PAID
35;10/02/2021;10/02/2021;308648;641,61;267575;641,61;10/02/2021;PAID
36;13/03/2021;11/02/2021;21798;343,33;267574;343,33;13/02/2021;PAID
37;12/04/2021;11/02/2021;21798;343,34;267574;343,34;12/04/2021;PAID
38;12/05/2021;11/02/2021;21798;343,33;267574;343,33;12/05/2021;PAID
39;11/02/2021;11/02/2021;233546;324;253238;324;11/02/2021;PAID
40;11/02/2021;11/02/2021;309088;1272,58;267575;1272,58;11/02/2021;PAID
41;12/02/2021;12/02/2021;22785;10;267574;10;12/02/2021;PAID
42;12/02/2021;12/02/2021;21838;105;267574;105;12/02/2021;PAID
43;12/02/2021;12/02/2021;21841;50;267574;50;12/02/2021;PAID
44;12/03/2021;12/02/2021;233684;323,7;253238;323,7;13/03/2021;PAID
45;12/02/2021;12/02/2021;21840;450;267574;450;12/02/2021;PAID
46;13/02/2021;13/02/2021;47687;277;253245;277;13/02/2021;PAID
47;12/02/2021;12/02/2021;30957;480;267575;480;12/02/2021;PAID
48;15/02/2021;15/02/2021;20050;45;267567;45;15/02/2021;PAID
49;15/02/2021;15/02/2021;21860;970;267574;970;15/02/2021;PAID
50;16/02/2021;16/02/2021;16;87;267592;87;16/02/2021;PAID
51;16/02/2021;16/02/2021;21891;390;267574;390;16/02/2021;PAID
52;16/02/2021;16/02/2021;20060;60;267567;60;16/02/2021;PAID
53;11/03/2021;17/02/2021;377;1045;267576;1045;11/03/2021;PAID
54;17/02/2021;17/02/2021;1;50;267593;50;17/02/2021;PAID
55;17/02/2021;17/02/2021;21904;55;267574;55;17/02/2021;PAID
56;17/02/2021;17/02/2021;21897;100;267574;100;17/02/2021;PAID
57;17/02/2021;17/02/2021;21896;300;267574;300;17/02/2021;PAID
58;19/02/2021;19/02/2021;31123;164,69;267575;164,69;19/02/2021;PAID
59;19/02/2021;19/02/2021;311651;643,46;267575;643,46;19/02/2021;PAID
60;23/03/2021;23/02/2021;171;280;267594;280;23/03/2021;PAID
61;23/03/2021;23/02/2021;64052;271,85;253238;271,85;23/03/2021;PAID
62;06/04/2021;23/02/2021;64052;241,85;253238;241,85;06/04/2021;PAID
63;20/04/2021;23/02/2021;64052;241,86;253238;241,86;20/04/2021;PAID
