id;IDCliente;ValorDocumento;NumeroDocumento;DataDocumento;Vencimento;DataPagamento;Valorpago;Status
4;47976;50;33288;15/06/2023;15/06/2023;;;PENDING
5;47976;152;33580;08/08/2023;08/08/2023;;;PENDING
6;48377;1.500;33585;08/08/2023;08/08/2023;;;PENDING
7;48385;780;33677;23/08/2023;23/08/2023;;;PENDING
8;47925;40;33686;24/08/2023;24/08/2023;;;PENDING
9;47976;220;33789;15/09/2023;15/09/2023;;;PENDING
10;48413;760;34167;22/11/2023;22/11/2023;;;PENDING
11;48145;960;34405;26/12/2023;26/12/2023;;;PENDING
12;48368;454;34590;25/01/2024;25/01/2024;;;PENDING
13;48089;420;34606;29/01/2024;29/01/2024;;;PENDING
14;47976;70;34638;01/02/2024;01/02/2024;;;PENDING
15;48290;1.032;34741;23/02/2024;23/02/2024;;;PENDING
16;48434;190;34749;23/02/2024;23/02/2024;;;PENDING
17;47925;480;34755;23/02/2024;23/02/2024;;;PENDING
18;47925;480;34754;13/02/2024;13/02/2024;;;PENDING
19;48487;1.290;34988;28/05/2024;28/05/2024;;;PENDING
20;48946;176;35029;14/06/2024;14/06/2024;;;PENDING
21;48368;335;35043;15/06/2024;15/06/2024;;;PENDING
22;47976;66;35151;03/07/2024;03/07/2024;;;PENDING
23;48510;4.000;35166;09/07/2024;09/07/2024;;;PENDING
24;47976;85;35232;27/07/2024;27/07/2024;;;PENDING
25;48544;398;35424;27/09/2024;27/09/2024;;;PENDING
26;47925;77;35430;01/10/2024;01/10/2024;;;PENDING
27;48556;820;35500;24/10/2024;24/10/2024;;;PENDING
28;48457;820;35546;27/05/2024;27/05/2024;;;PENDING
29;48570;500;35626;11/11/2024;11/11/2024;;;PENDING
30;48356;148;35635;12/11/2024;12/11/2024;;;PENDING
31;48947;1.350;35783;16/12/2024;12/12/2024;;;PENDING
32;48598;420;35850;27/12/2024;27/12/2024;;;PENDING
33;47925;220;35894;11/01/2025;11/01/2025;;;PENDING
34;48356;1.867;35922;21/01/2025;21/01/2025;;;PENDING
35;48621;322;35953;01/02/2025;01/02/2025;;;PENDING
36;48632;490;36009;11/02/2025;11/02/2025;;;PENDING
37;48591;354;36045;13/02/2025;16/02/2025;;;PENDING
38;48591;354;36045;13/02/2025;14/03/2025;;;PENDING
39;48591;354;36045;13/02/2025;14/03/2025;;;PENDING
40;48356;1.337;36046;13/02/2025;13/02/2025;;;PENDING
41;48564;375;36106;25/02/2025;06/03/2025;;;PENDING
42;48564;375;36106;25/02/2025;27/03/2025;;;PENDING
43;48949;316;36212;20/03/2025;20/03/2025;;;PENDING
44;47925;137;36275;03/04/2025;03/04/2025;;;PENDING
45;48356;1.465;36310;08/04/2025;08/04/2025;;;PENDING
46;48654;1.550;36361;15/04/2025;15/04/2025;;;PENDING
47;48662;105;36395;22/04/2025;22/04/2025;;;PENDING
48;48673;560;36502;15/05/2025;15/05/2025;;;PENDING
49;47979;330;36579;31/05/2025;31/05/2025;;;PENDING
51;47925;25;36652;20/06/2025;20/06/2025;;;PENDING
52;48736;480;36927;07/08/2025;07/08/2025;;;PENDING
53;48948;151;36956;13/08/2025;13/08/2025;;;PENDING
55;48950;150;37270;17/10/2025;17/10/2025;;;PENDING
56;48951;372;37360;07/11/2025;07/11/2025;;;PENDING
57;48591;150;37405;18/11/2025;18/11/2025;;;PENDING
58;48356;350;37551;15/12/2025;15/12/2025;;;PENDING
59;48945;174;37641;30/12/2025;30/12/2025;;;PENDING
60;48728;440;37819;04/02/2026;04/02/2026;;;PENDING
61;47664;76;13;28/02/2012;02/03/2012;30/03/2012;;PAID
62;47727;773;3179;17/01/2013;17/01/2013;17/01/2013;;PAID
