NumeroDoPedido;ID_Cliente;ID_Vendedor;CreatedAt;Status;ID_Produto_ou_Codigo;Quantidade;ValorUnitario;ValorFrete;DescontoItem;Observacao;ID_FormaPagamento
1;43947;477;26/09/2023;PROPOSAL;751000;1;0,00;;;80;493
1;43947;477;26/09/2023;PROPOSAL;751002;2;0,00;;;80;493
1;43947;477;26/09/2023;PROPOSAL;751364;1;0,00;;;80;493
2;43607;477;26/09/2023;PROPOSAL;751511;1;0,00;;;82;493
2;43607;477;26/09/2023;PROPOSAL;751738;4;0,00;;;82;493
3;43946;477;29/09/2023;PROPOSAL;751503;1;0,00;;;88;514
3;43946;477;29/09/2023;PROPOSAL;751776;4;0,00;;;88;514
4;43945;477;29/09/2023;PROPOSAL;751364;1;0,00;;;89;514
4;43945;477;29/09/2023;PROPOSAL;751510;1;0,00;;;89;514
4;43945;477;29/09/2023;PROPOSAL;751738;3;0,00;;;89;514
5;43944;477;09/10/2023;PROPOSAL;751512;1;0,00;;;93;493
5;43944;477;09/10/2023;PROPOSAL;751738;4;0,00;;;93;493
6;43943;477;09/10/2023;PROPOSAL;751364;1;0,00;;;94;493
7;43887;477;11/10/2023;PROPOSAL;751007;1;0,00;;;156;493
7;43887;477;11/10/2023;PROPOSAL;751510;1;0,00;;;156;493
7;43887;477;11/10/2023;PROPOSAL;751738;3;0,00;;;156;493
8;43942;477;11/10/2023;PROPOSAL;751738;3;0,00;;;158;493
9;43607;477;13/10/2023;PROPOSAL;751125;1;0,00;;;229;493
10;43729;477;17/10/2023;PROPOSAL;751167;1;0,00;;;260;493
10;43729;477;17/10/2023;PROPOSAL;751306;1;0,00;;;260;493
10;43729;477;17/10/2023;PROPOSAL;751362;1;0,00;;;260;493
11;43666;477;18/10/2023;PROPOSAL;751511;1;0,00;;;265;493
11;43666;477;18/10/2023;PROPOSAL;751577;1;0,00;;;265;493
11;43666;477;18/10/2023;PROPOSAL;751738;4;0,00;;;265;493
12;43940;477;19/10/2023;PROPOSAL;751477;1;0,00;;;269;500
13;43938;477;19/10/2023;PROPOSAL;751371;1;0,00;;;272;493
14;43636;477;19/10/2023;PROPOSAL;752055;1;0,00;;;277;493
15;43937;477;24/10/2023;PROPOSAL;751382;1;0,00;;;297;514
15;43937;477;24/10/2023;PROPOSAL;751511;1;0,00;;;297;514
15;43937;477;24/10/2023;PROPOSAL;751738;4;0,00;;;297;514
16;43936;477;24/10/2023;PROPOSAL;751510;1;0,00;;;298;493
16;43936;477;24/10/2023;PROPOSAL;751738;3;0,00;;;298;493
17;43928;477;24/10/2023;PROPOSAL;751496;1;0,00;;;299;493
17;43928;477;24/10/2023;PROPOSAL;751510;1;0,00;;;299;493
17;43928;477;24/10/2023;PROPOSAL;751738;3;0,00;;;299;493
18;43935;477;25/10/2023;PROPOSAL;751511;1;0,00;;;305;493
18;43935;477;25/10/2023;PROPOSAL;751738;4;0,00;;;305;493
18;43935;477;25/10/2023;PROPOSAL;751985;1;0,00;;;305;493
19;43775;477;26/10/2023;PROPOSAL;751642;1;0,00;;;310;493
19;43775;477;26/10/2023;PROPOSAL;751796;1;0,00;;;310;493
20;43934;477;27/10/2023;PROPOSAL;751900;1;0,00;;;313;514
21;43591;477;31/10/2023;PROPOSAL;751512;1;0,00;;;326;493
21;43591;477;31/10/2023;PROPOSAL;751761;3;0,00;;;326;493
22;43932;477;31/10/2023;PROPOSAL;751867;1;0,00;;;327;493
23;43930;477;06/11/2023;PROPOSAL;751510;1;0,00;;;342;500
23;43930;477;06/11/2023;PROPOSAL;751738;3;0,00;;;342;500
24;43719;477;06/11/2023;PROPOSAL;751002;1;0,00;;;343;493
24;43719;477;06/11/2023;PROPOSAL;752055;1;0,00;;;343;493
25;43610;477;13/11/2023;PROPOSAL;751510;1;0,00;;;465;514
25;43610;477;13/11/2023;PROPOSAL;751738;3;0,00;;;465;514
26;43919;477;13/11/2023;PROPOSAL;751043;1;0,00;;;476;493
26;43919;477;13/11/2023;PROPOSAL;751459;1;0,00;;;476;493
26;43919;477;13/11/2023;PROPOSAL;751240;1;0,00;;;476;493
27;43590;477;23/11/2023;PROPOSAL;751195;1;0,00;;;508;493
28;43650;477;25/11/2023;PROPOSAL;751371;1;0,00;;;512;514
28;43650;477;25/11/2023;PROPOSAL;751723;1;0,00;;;512;514
29;43590;477;27/11/2023;PROPOSAL;751738;3;0,00;;;517;493
30;43925;477;28/11/2023;PROPOSAL;751319;1;0,00;;;520;514
31;43924;477;01/12/2023;PROPOSAL;751976;1;0,00;;;529;514
32;43726;477;01/12/2023;PROPOSAL;750991;1;0,00;;;530;514
32;43726;477;01/12/2023;PROPOSAL;751796;1;0,00;;;530;514
33;43833;477;05/12/2023;PROPOSAL;750991;2;0,00;;;536;514
33;43833;477;05/12/2023;PROPOSAL;750997;1;0,00;;;536;514
33;43833;477;05/12/2023;PROPOSAL;751368;1;0,00;;;536;514
34;43767;477;05/12/2023;PROPOSAL;752001;1;0,00;;;550;493
35;43842;477;07/12/2023;PROPOSAL;751579;1;0,00;;;573;514
35;43842;477;07/12/2023;PROPOSAL;751609;1;0,00;;;573;514
35;43842;477;07/12/2023;PROPOSAL;751892;1;0,00;;;573;514
36;43590;477;10/12/2023;PROPOSAL;751919;1;0,00;;;578;493
37;43762;477;10/12/2023;PROPOSAL;751364;1;0,00;;;580;513
37;43762;477;10/12/2023;PROPOSAL;751586;1;0,00;;;580;513
37;43762;477;10/12/2023;PROPOSAL;751796;1;0,00;;;580;513
38;43804;477;02/01/2024;PROPOSAL;751368;1;0,00;;;689;493
38;43804;477;02/01/2024;PROPOSAL;751579;1;0,00;;;689;493
38;43804;477;02/01/2024;PROPOSAL;751601;2;0,00;;;689;493
39;43587;477;04/01/2024;PROPOSAL;751796;1;0,00;;;728;493
40;43610;477;08/01/2024;PROPOSAL;751339;1;0,00;;;738;514
40;43610;477;08/01/2024;PROPOSAL;751796;1;0,00;;;738;514
41;43901;477;11/01/2024;PROPOSAL;751067;1;0,00;;;752;493
42;43787;477;15/02/2024;PROPOSAL;751677;1;0,00;;;762;493
43;43650;477;15/02/2024;PROPOSAL;751512;1;0,00;;;763;493
43;43650;477;15/02/2024;PROPOSAL;751749;3;0,00;;;763;493
44;43912;477;23/02/2024;PROPOSAL;751104;1;0,00;;;800;514
44;43912;477;23/02/2024;PROPOSAL;751796;1;0,00;;;800;514
45;43748;477;23/02/2024;PROPOSAL;751695;1;0,00;;;801;500
46;43591;477;23/02/2024;PROPOSAL;751738;1;0,00;;;802;493
47;43812;477;26/02/2024;PROPOSAL;751167;1;0,00;;;805;514
47;43812;477;26/02/2024;PROPOSAL;751368;1;0,00;;;805;514
47;43812;477;26/02/2024;PROPOSAL;751928;1;0,00;;;805;514
48;43715;477;06/03/2024;PROPOSAL;751898;1;0,00;;;820;493
49;43591;477;06/03/2024;PROPOSAL;751101;1;0,00;;;834;493
49;43591;477;06/03/2024;PROPOSAL;751693;1;0,00;;;834;493
49;43591;477;06/03/2024;PROPOSAL;751932;1;0,00;;;834;493
50;43617;477;06/03/2024;PROPOSAL;751380;1;0,00;;;835;493
50;43617;477;06/03/2024;PROPOSAL;751510;1;0,00;;;835;493
50;43617;477;06/03/2024;PROPOSAL;751749;3;0,00;;;835;493
51;43906;477;18/03/2024;PROPOSAL;751829;1;0,00;;;873;514
52;43816;477;18/03/2024;PROPOSAL;751167;1;0,00;;;885;493
52;43816;477;18/03/2024;PROPOSAL;751928;1;0,00;;;885;493
53;43769;477;21/03/2024;PROPOSAL;751092;1;0,00;;;924;493
53;43769;477;21/03/2024;PROPOSAL;751191;1;0,00;;;924;493
53;43769;477;21/03/2024;PROPOSAL;751204;1;0,00;;;924;493
54;43904;477;25/03/2024;PROPOSAL;751262;1;0,00;;;959;493
54;43904;477;25/03/2024;PROPOSAL;751267;1;0,00;;;959;493
54;43904;477;25/03/2024;PROPOSAL;751240;2;0,00;;;959;493
55;43903;477;25/03/2024;PROPOSAL;751197;1;0,00;;;960;493
55;43903;477;25/03/2024;PROPOSAL;751368;1;0,00;;;960;493
55;43903;477;25/03/2024;PROPOSAL;751928;1;0,00;;;960;493
56;43607;477;12/04/2024;PROPOSAL;752045;1;0,00;;;995;514
57;43842;477;17/04/2024;PROPOSAL;751697;1;0,00;;;1056;514
58;43766;477;17/04/2024;PROPOSAL;752047;1;0,00;;;1059;493
59;43765;477;18/04/2024;PROPOSAL;751110;1;0,00;;;1062;493
59;43765;477;18/04/2024;PROPOSAL;751286;2;0,00;;;1062;493
59;43765;477;18/04/2024;PROPOSAL;751393;1;0,00;;;1062;493
60;43902;477;22/04/2024;PROPOSAL;751191;1;0,00;;;1069;514
60;43902;477;22/04/2024;PROPOSAL;751577;1;0,00;;;1069;514
60;43902;477;22/04/2024;PROPOSAL;751816;4;0,00;;;1069;514
61;43901;477;25/04/2024;PROPOSAL;751067;2;0,00;;;1075;493
62;43890;477;29/04/2024;PROPOSAL;751794;3;0,00;;;1088;514
63;43610;477;01/05/2024;PROPOSAL;751145;1;0,00;;;1136;514
64;43700;477;01/05/2024;PROPOSAL;751163;1;0,00;;;1137;493
65;43610;477;09/05/2024;PROPOSAL;751677;1;0,00;;;1191;493
