placa;km;km_troca_oleo;renavam;chassi;ano_fabricacao;ano_modelo;IdCliente;modelo;montadora
JGT5859;;;;8AFCZZFFC4J332737;2003;;45215;FOCUS;ford
DHZ0939;;;;9BGRY48X05G116484;2004;;45205;CELTA;chevrolet
DNW1547;;;;9BWCA05X75T059672;2004;;45011;GOL;volkswagen
EKQ0I56;;;;8AFFZZFHA9J299065;2009;;44951;FOCUS;ford
EKT5498;;;;9BWAA05W2AP047818;2009;;45094;GOL;volkswagen
FJU9853;;;;*****49954;2022;;45075;SAVEIRO;volkswagen
SJI6G79;;;;*****58983;2024;;45293;CRONOS;fiat
DUT5G90;;;;;;;45170;CORSA;chevrolet
EDP4F25;;;;9BGTR48C09B274725;2009;;45572;ASTRA;chevrolet
FHY2B63;;;;9BWAA05U1EP098585;2013;;45571;GOL;volkswagen
COH5922;;;;9BGJK19BWVB503446;1997;;45570;VECTRA;chevrolet
CGH1G87;;;;9BWZZZ377TT141195;1996;;45569;GOL;volkswagen
EVH8951;;;;9BGXH68X0CC176702;2011;;45568;CORSA;chevrolet
DZW6748;;;;9BD17140G85291487;2008;;45567;PALIO;fiat
EKW7088;;;;9BGCA80X0DB303987;2013;;45566;MONTANA;chevrolet
TKD1D40;;;;*****11821;2024;;45565;CIVIC;honda
GWZ6953;;;;9BD15802534443486;2002;;45564;UNO;fiat
NEV2924;;;;9BWAB45Z2C4135402;2012;;45563;FOX;volkswagen
DTY4B66;;;;9BGTR48W07B224775;2007;;45562;ASTRA;chevrolet
CXJ7666;;;;9BR53AEB215521714;2000;;45561;COROLLA;toyota
DAW0516;;;;9BG244RNKJC002310;1988;;45560;CHEVROLET;GM
EAJ5748;;;;9BFZF10A488234486;2008;;45559;FIESTA;ford
EMR2B65;;;;9BGPB69M0CB333952;2012;;45558;CRUZE;chevrolet
CLB1035;;;;9BWZZZ377VT191873;1997;;45557;GOL;volkswagen
SCB4I82;;;;*****14814;2023;;45556;TIGGO8;caoa chery
QMU7H25;;;;9BGKL48U0JB155839;2017;;45555;ONIX;chevrolet
EVY4C54;;;;9BD1105BDC1552252;2012;;45554;LINEA;fiat
FNS9379;;;;9BFZB55P9E8928506;2014;;45553;ECOSPORT;ford
AQU5792;;;;935FCN6A89B522670;2008;;45552;C3;citroën
DTT1J02;;;;9BD15802774895228;2006;;45551;UNO;fiat
